Generated by myTrafficdata,,,
SDR: Lochowicejezior,,27 lut 26 10:07:02,
26 lut 26 17:30:09,1,0.8 m,67 km/h
26 lut 26 17:30:18,2,5.4 m,36 km/h
26 lut 26 17:31:26,1,4.9 m,27 km/h
26 lut 26 17:31:46,1,4.9 m,62 km/h
26 lut 26 17:32:24,1,20.5 m,56 km/h
26 lut 26 17:32:44,1,3.6 m,55 km/h
26 lut 26 17:33:24,2,3.3 m,99 km/h
26 lut 26 17:34:52,2,5.3 m,54 km/h
26 lut 26 17:35:10,2,2.9 m,22 km/h
26 lut 26 17:35:23,1,18.6 m,62 km/h
26 lut 26 17:36:47,2,1.6 m,21 km/h
26 lut 26 17:37:23,1,3.9 m,69 km/h
26 lut 26 17:37:48,1,3.7 m,50 km/h
26 lut 26 17:38:18,1,4.9 m,28 km/h
26 lut 26 17:38:21,2,3.2 m,17 km/h
26 lut 26 17:38:27,1,4.7 m,36 km/h
26 lut 26 17:38:39,1,5.3 m,53 km/h
26 lut 26 17:39:40,1,3.6 m,65 km/h
26 lut 26 17:40:35,2,4.6 m,62 km/h
26 lut 26 17:40:52,2,6.1 m,51 km/h
26 lut 26 17:40:54,2,0.7 m,57 km/h
26 lut 26 17:40:56,1,4.3 m,57 km/h
26 lut 26 17:41:05,1,5.3 m,62 km/h
26 lut 26 17:43:38,2,4.3 m,38 km/h
26 lut 26 17:44:07,2,4.0 m,19 km/h
26 lut 26 17:44:36,2,4.6 m,27 km/h
26 lut 26 17:44:44,1,3.8 m,73 km/h
26 lut 26 17:44:53,1,7.8 m,29 km/h
26 lut 26 17:46:32,1,3.5 m,57 km/h
26 lut 26 17:46:40,2,4.7 m,56 km/h
26 lut 26 17:47:26,1,3.7 m,24 km/h
26 lut 26 17:47:31,1,4.1 m,26 km/h
26 lut 26 17:47:45,1,5.6 m,60 km/h
26 lut 26 17:47:51,1,3.7 m,54 km/h
26 lut 26 17:48:46,1,3.9 m,32 km/h
26 lut 26 17:51:24,2,4.6 m,41 km/h
26 lut 26 17:51:54,2,4.3 m,57 km/h
26 lut 26 17:51:56,2,1.0 m,64 km/h
26 lut 26 17:52:31,2,4.8 m,49 km/h
26 lut 26 17:53:52,1,5.0 m,39 km/h
26 lut 26 17:55:22,1,5.0 m,32 km/h
26 lut 26 17:55:26,1,4.6 m,81 km/h
26 lut 26 17:55:55,2,4.7 m,53 km/h
26 lut 26 17:55:59,2,4.4 m,54 km/h
26 lut 26 17:56:41,2,3.7 m,36 km/h
26 lut 26 17:57:19,2,4.9 m,67 km/h
26 lut 26 17:57:43,2,3.9 m,55 km/h
26 lut 26 17:57:48,1,4.6 m,55 km/h
26 lut 26 17:58:07,1,4.1 m,44 km/h
26 lut 26 18:00:01,2,3.9 m,24 km/h
26 lut 26 18:00:17,1,1.2 m,63 km/h
26 lut 26 18:01:03,1,3.8 m,74 km/h
26 lut 26 18:01:32,1,3.9 m,52 km/h
26 lut 26 18:02:21,2,3.9 m,48 km/h
26 lut 26 18:02:41,2,3.7 m,63 km/h
26 lut 26 18:03:15,2,5.4 m,53 km/h
26 lut 26 18:03:47,2,4.9 m,33 km/h
26 lut 26 18:08:08,2,4.8 m,19 km/h
26 lut 26 18:08:25,1,4.1 m,42 km/h
26 lut 26 18:09:23,2,6.4 m,50 km/h
26 lut 26 18:10:07,1,4.0 m,63 km/h
26 lut 26 18:10:44,1,4.3 m,30 km/h
26 lut 26 18:11:35,2,4.4 m,29 km/h
26 lut 26 18:12:47,1,5.0 m,52 km/h
26 lut 26 18:12:56,1,3.9 m,41 km/h
26 lut 26 18:13:01,1,5.4 m,55 km/h
26 lut 26 18:14:12,1,4.4 m,59 km/h
26 lut 26 18:14:21,1,4.1 m,49 km/h
26 lut 26 18:14:56,2,4.1 m,59 km/h
26 lut 26 18:16:53,2,4.2 m,79 km/h
26 lut 26 18:17:05,1,4.2 m,30 km/h
26 lut 26 18:18:47,2,4.1 m,51 km/h
26 lut 26 18:18:50,2,6.1 m,48 km/h
26 lut 26 18:23:50,2,4.0 m,53 km/h
26 lut 26 18:24:22,2,18.7 m,58 km/h
26 lut 26 18:24:23,2,4.3 m,62 km/h
26 lut 26 18:24:31,1,3.5 m,70 km/h
26 lut 26 18:24:36,2,20.2 m,59 km/h
26 lut 26 18:24:50,2,4.7 m,32 km/h
26 lut 26 18:26:15,2,4.6 m,59 km/h
26 lut 26 18:27:17,2,6.6 m,60 km/h
26 lut 26 18:27:44,2,4.3 m,29 km/h
26 lut 26 18:27:53,1,3.8 m,49 km/h
26 lut 26 18:27:55,1,3.9 m,52 km/h
26 lut 26 18:28:18,1,5.8 m,46 km/h
26 lut 26 18:29:06,1,4.3 m,57 km/h
26 lut 26 18:29:23,2,4.5 m,60 km/h
26 lut 26 18:29:28,2,4.9 m,41 km/h
26 lut 26 18:29:37,1,4.1 m,27 km/h
26 lut 26 18:29:42,1,6.4 m,53 km/h
26 lut 26 18:29:46,2,5.3 m,60 km/h
26 lut 26 18:30:28,2,4.5 m,57 km/h
26 lut 26 18:31:48,2,17.7 m,59 km/h
26 lut 26 18:31:50,1,3.3 m,43 km/h
26 lut 26 18:32:12,1,5.8 m,47 km/h
26 lut 26 18:32:17,2,4.6 m,54 km/h
26 lut 26 18:32:18,1,4.2 m,62 km/h
26 lut 26 18:34:15,1,4.5 m,44 km/h
26 lut 26 18:34:55,2,5.5 m,54 km/h
26 lut 26 18:36:12,1,4.5 m,37 km/h
26 lut 26 18:36:57,1,6.1 m,30 km/h
26 lut 26 18:37:51,1,5.0 m,31 km/h
26 lut 26 18:38:01,1,5.1 m,37 km/h
26 lut 26 18:39:23,1,5.5 m,31 km/h
26 lut 26 18:39:27,1,6.4 m,34 km/h
26 lut 26 18:39:51,1,6.7 m,50 km/h
26 lut 26 18:40:20,2,8.2 m,43 km/h
26 lut 26 18:40:25,2,3.4 m,22 km/h
26 lut 26 18:40:27,2,2.9 m,19 km/h
26 lut 26 18:41:15,2,5.4 m,55 km/h
26 lut 26 18:42:23,1,4.5 m,45 km/h
26 lut 26 18:42:36,1,5.1 m,26 km/h
26 lut 26 18:43:15,1,3.5 m,39 km/h
26 lut 26 18:46:23,1,5.9 m,53 km/h
26 lut 26 18:46:56,2,4.7 m,51 km/h
26 lut 26 18:46:58,2,3.7 m,60 km/h
26 lut 26 18:47:11,2,4.7 m,91 km/h
26 lut 26 18:47:15,2,2.8 m,83 km/h
26 lut 26 18:50:02,1,6.9 m,56 km/h
26 lut 26 18:50:47,2,4.6 m,51 km/h
26 lut 26 18:50:49,2,3.2 m,49 km/h
26 lut 26 18:51:03,1,5.2 m,72 km/h
26 lut 26 18:51:41,2,4.7 m,42 km/h
26 lut 26 18:51:47,1,4.3 m,49 km/h
26 lut 26 18:52:05,1,4.5 m,27 km/h
26 lut 26 18:52:07,1,4.7 m,31 km/h
26 lut 26 18:52:48,2,3.3 m,46 km/h
26 lut 26 18:52:54,1,4.2 m,22 km/h
26 lut 26 18:53:22,2,6.3 m,53 km/h
26 lut 26 18:54:09,1,4.1 m,48 km/h
26 lut 26 18:55:05,2,20.1 m,48 km/h
26 lut 26 18:55:46,2,6.8 m,49 km/h
26 lut 26 18:57:17,2,4.7 m,53 km/h
26 lut 26 18:57:43,1,4.2 m,61 km/h
26 lut 26 19:00:03,1,4.0 m,54 km/h
26 lut 26 19:00:46,2,3.8 m,52 km/h
26 lut 26 19:06:37,1,3.6 m,49 km/h
26 lut 26 19:08:11,1,4.3 m,46 km/h
26 lut 26 19:10:59,2,4.7 m,50 km/h
26 lut 26 19:11:40,1,3.0 m,41 km/h
26 lut 26 19:14:45,2,3.7 m,99 km/h
26 lut 26 19:16:38,1,4.0 m,50 km/h
26 lut 26 19:16:39,1,3.3 m,49 km/h
26 lut 26 19:17:31,1,4.0 m,44 km/h
26 lut 26 19:18:25,2,3.3 m,49 km/h
26 lut 26 19:21:10,2,4.2 m,50 km/h
26 lut 26 19:22:05,1,3.4 m,62 km/h
26 lut 26 19:23:32,2,4.7 m,39 km/h
26 lut 26 19:23:44,1,4.2 m,52 km/h
26 lut 26 19:24:20,1,4.7 m,59 km/h
26 lut 26 19:27:52,2,4.5 m,22 km/h
26 lut 26 19:28:12,1,3.4 m,59 km/h
26 lut 26 19:31:48,2,4.0 m,60 km/h
26 lut 26 19:33:25,2,6.5 m,62 km/h
26 lut 26 19:34:00,2,4.8 m,54 km/h
26 lut 26 19:34:15,1,3.8 m,54 km/h
26 lut 26 19:35:51,2,4.4 m,56 km/h
26 lut 26 19:36:21,2,4.5 m,25 km/h
26 lut 26 19:37:05,2,4.5 m,59 km/h
26 lut 26 19:37:21,2,4.1 m,16 km/h
26 lut 26 19:37:22,1,4.2 m,46 km/h
26 lut 26 19:38:17,2,4.5 m,54 km/h
26 lut 26 19:39:36,1,4.2 m,59 km/h
26 lut 26 19:41:05,2,4.4 m,65 km/h
26 lut 26 19:43:04,2,3.6 m,60 km/h
26 lut 26 19:43:19,1,5.1 m,109 km/h
26 lut 26 19:43:53,2,3.4 m,27 km/h
26 lut 26 19:44:21,2,4.8 m,26 km/h
26 lut 26 19:45:24,2,3.5 m,45 km/h
26 lut 26 19:45:40,1,3.8 m,46 km/h
26 lut 26 19:45:42,2,3.9 m,39 km/h
26 lut 26 19:46:30,2,4.6 m,27 km/h
26 lut 26 19:46:32,2,4.8 m,31 km/h
26 lut 26 19:49:06,1,4.6 m,57 km/h
26 lut 26 19:54:20,2,3.7 m,20 km/h
26 lut 26 19:55:49,2,5.5 m,32 km/h
26 lut 26 19:55:51,1,4.0 m,25 km/h
26 lut 26 19:56:39,2,4.0 m,62 km/h
26 lut 26 19:57:52,2,5.6 m,85 km/h
26 lut 26 20:01:49,1,7.2 m,32 km/h
26 lut 26 20:03:46,2,4.1 m,67 km/h
26 lut 26 20:03:56,2,3.4 m,58 km/h
26 lut 26 20:04:16,2,5.2 m,56 km/h
26 lut 26 20:04:44,2,4.1 m,54 km/h
26 lut 26 20:06:21,2,5.0 m,54 km/h
26 lut 26 20:07:51,1,4.1 m,98 km/h
26 lut 26 20:10:29,2,4.8 m,45 km/h
26 lut 26 20:13:54,1,3.9 m,40 km/h
26 lut 26 20:13:58,1,4.7 m,37 km/h
26 lut 26 20:15:43,1,4.7 m,53 km/h
26 lut 26 20:19:56,2,4.7 m,53 km/h
26 lut 26 20:22:30,2,4.0 m,56 km/h
26 lut 26 20:22:40,2,4.5 m,60 km/h
26 lut 26 20:22:53,2,4.3 m,68 km/h
26 lut 26 20:26:15,1,3.8 m,111 km/h
26 lut 26 20:27:07,2,5.5 m,38 km/h
26 lut 26 20:29:19,2,4.7 m,52 km/h
26 lut 26 20:31:04,1,3.8 m,61 km/h
26 lut 26 20:31:38,1,4.3 m,25 km/h
26 lut 26 20:32:16,2,3.7 m,43 km/h
26 lut 26 20:33:03,1,3.7 m,32 km/h
26 lut 26 20:35:13,1,4.9 m,24 km/h
26 lut 26 20:38:27,2,3.4 m,39 km/h
26 lut 26 20:38:29,2,4.7 m,40 km/h
26 lut 26 20:38:41,2,4.3 m,24 km/h
26 lut 26 20:40:07,1,4.6 m,63 km/h
26 lut 26 20:41:00,2,4.4 m,51 km/h
26 lut 26 20:42:21,1,4.6 m,58 km/h
26 lut 26 20:43:06,2,4.4 m,79 km/h
26 lut 26 20:43:11,2,3.8 m,53 km/h
26 lut 26 20:44:43,2,5.1 m,40 km/h
26 lut 26 20:44:55,2,4.2 m,46 km/h
26 lut 26 20:45:43,2,4.9 m,141 km/h
26 lut 26 20:46:06,1,4.6 m,51 km/h
26 lut 26 20:46:50,1,3.6 m,91 km/h
26 lut 26 20:53:14,1,4.6 m,53 km/h
26 lut 26 20:54:39,1,6.3 m,89 km/h
26 lut 26 20:55:35,2,4.6 m,47 km/h
26 lut 26 20:57:47,2,3.7 m,91 km/h
26 lut 26 20:57:48,2,4.5 m,98 km/h
26 lut 26 21:02:53,1,4.5 m,35 km/h
26 lut 26 21:03:39,1,4.9 m,45 km/h
26 lut 26 21:13:36,1,4.3 m,64 km/h
26 lut 26 21:14:51,2,5.4 m,54 km/h
26 lut 26 21:16:59,2,5.0 m,48 km/h
26 lut 26 21:17:50,1,4.7 m,62 km/h
26 lut 26 21:19:13,1,4.5 m,49 km/h
26 lut 26 21:20:09,1,4.3 m,56 km/h
26 lut 26 21:21:47,2,3.7 m,58 km/h
26 lut 26 21:24:16,2,4.4 m,64 km/h
26 lut 26 21:24:28,1,3.6 m,107 km/h
26 lut 26 21:26:32,1,4.2 m,100 km/h
26 lut 26 21:28:45,1,4.4 m,57 km/h
26 lut 26 21:29:21,1,4.2 m,43 km/h
26 lut 26 21:30:47,1,4.8 m,55 km/h
26 lut 26 21:33:39,1,4.4 m,49 km/h
26 lut 26 21:34:30,1,3.9 m,58 km/h
26 lut 26 21:35:29,2,4.4 m,47 km/h
26 lut 26 21:38:09,1,4.3 m,43 km/h
26 lut 26 21:38:10,2,4.7 m,51 km/h
26 lut 26 21:38:34,2,3.5 m,58 km/h
26 lut 26 21:39:41,2,4.6 m,53 km/h
26 lut 26 21:46:24,2,3.7 m,74 km/h
26 lut 26 21:46:45,1,4.1 m,52 km/h
26 lut 26 21:48:05,2,4.0 m,83 km/h
26 lut 26 22:08:48,2,4.0 m,54 km/h
26 lut 26 22:09:45,1,3.7 m,61 km/h
26 lut 26 22:17:10,2,3.5 m,40 km/h
26 lut 26 22:19:09,2,4.4 m,123 km/h
26 lut 26 22:20:08,1,4.6 m,46 km/h
26 lut 26 22:23:48,2,3.8 m,52 km/h
26 lut 26 22:33:23,1,4.8 m,44 km/h
26 lut 26 22:35:26,2,3.9 m,57 km/h
26 lut 26 22:35:35,2,4.2 m,55 km/h
26 lut 26 22:37:26,2,4.7 m,22 km/h
26 lut 26 22:45:03,2,4.6 m,57 km/h
26 lut 26 22:49:29,1,3.8 m,99 km/h
26 lut 26 22:50:41,2,3.7 m,74 km/h
26 lut 26 22:53:14,1,5.5 m,47 km/h
26 lut 26 23:03:18,1,5.6 m,29 km/h
26 lut 26 23:06:22,1,4.9 m,46 km/h
26 lut 26 23:06:26,2,4.0 m,99 km/h
26 lut 26 23:06:38,2,5.1 m,49 km/h
26 lut 26 23:10:19,1,3.5 m,58 km/h
26 lut 26 23:11:23,2,4.7 m,49 km/h
26 lut 26 23:29:37,1,4.5 m,16 km/h
26 lut 26 23:30:31,2,3.7 m,52 km/h
26 lut 26 23:38:21,2,4.6 m,56 km/h
26 lut 26 23:42:18,2,3.0 m,55 km/h
26 lut 26 23:43:20,2,5.6 m,29 km/h
26 lut 26 23:46:06,2,4.7 m,48 km/h
26 lut 26 23:49:28,1,5.2 m,45 km/h
26 lut 26 23:52:10,2,4.6 m,107 km/h
27 lut 26 0:02:22,2,4.3 m,47 km/h
27 lut 26 0:05:07,1,3.3 m,77 km/h
27 lut 26 0:17:39,1,4.2 m,54 km/h
27 lut 26 0:18:22,2,5.2 m,55 km/h
27 lut 26 0:22:19,2,4.4 m,60 km/h
27 lut 26 0:38:17,1,3.4 m,52 km/h
27 lut 26 0:40:01,2,4.4 m,55 km/h
27 lut 26 1:00:30,1,3.9 m,45 km/h
27 lut 26 1:45:01,1,3.4 m,62 km/h
27 lut 26 1:51:44,2,3.9 m,19 km/h
27 lut 26 1:53:48,1,4.0 m,97 km/h
27 lut 26 2:10:24,1,4.5 m,53 km/h
27 lut 26 2:17:05,1,19.5 m,57 km/h
27 lut 26 2:21:35,2,5.4 m,60 km/h
27 lut 26 2:32:55,2,3.3 m,109 km/h
27 lut 26 2:48:17,1,3.8 m,38 km/h
27 lut 26 3:44:09,1,4.4 m,54 km/h
27 lut 26 3:47:17,1,4.3 m,54 km/h
27 lut 26 3:48:41,2,5.9 m,93 km/h
27 lut 26 3:56:28,1,4.1 m,55 km/h
27 lut 26 4:02:05,1,6.5 m,112 km/h
27 lut 26 4:05:34,1,20.6 m,28 km/h
27 lut 26 4:05:39,1,18.3 m,49 km/h
27 lut 26 4:14:35,1,3.4 m,115 km/h
27 lut 26 4:19:44,1,4.0 m,53 km/h
27 lut 26 5:00:07,1,3.9 m,51 km/h
27 lut 26 5:01:42,1,4.1 m,57 km/h
27 lut 26 5:05:41,1,5.3 m,71 km/h
27 lut 26 5:07:37,1,20.1 m,95 km/h
27 lut 26 5:09:04,2,4.9 m,57 km/h
27 lut 26 5:13:41,1,4.2 m,55 km/h
27 lut 26 5:14:48,1,4.6 m,56 km/h
27 lut 26 5:15:08,1,5.6 m,44 km/h
27 lut 26 5:17:30,2,4.7 m,47 km/h
27 lut 26 5:19:04,1,3.4 m,77 km/h
27 lut 26 5:21:49,2,4.5 m,58 km/h
27 lut 26 5:23:04,1,4.6 m,63 km/h
27 lut 26 5:23:12,1,3.1 m,46 km/h
27 lut 26 5:23:14,1,4.3 m,48 km/h
27 lut 26 5:24:38,1,4.5 m,65 km/h
27 lut 26 5:24:48,1,5.0 m,48 km/h
27 lut 26 5:30:29,2,4.7 m,61 km/h
27 lut 26 5:32:40,2,4.4 m,51 km/h
27 lut 26 5:32:45,2,4.6 m,68 km/h
27 lut 26 5:34:00,1,4.7 m,65 km/h
27 lut 26 5:34:41,1,4.4 m,72 km/h
27 lut 26 5:36:29,2,4.0 m,16 km/h
27 lut 26 5:37:17,1,18.7 m,88 km/h
27 lut 26 5:39:02,2,4.3 m,59 km/h
27 lut 26 5:39:05,2,4.2 m,87 km/h
27 lut 26 5:39:12,2,4.1 m,62 km/h
27 lut 26 5:44:02,2,3.9 m,50 km/h
27 lut 26 5:45:25,2,4.7 m,64 km/h
27 lut 26 5:45:41,1,6.8 m,108 km/h
27 lut 26 5:47:24,1,3.8 m,47 km/h
27 lut 26 5:48:22,1,5.9 m,42 km/h
27 lut 26 5:48:47,2,3.8 m,57 km/h
27 lut 26 5:49:22,1,3.9 m,46 km/h
27 lut 26 5:50:23,2,4.1 m,46 km/h
27 lut 26 5:51:02,1,4.2 m,55 km/h
27 lut 26 5:51:30,1,4.9 m,55 km/h
27 lut 26 5:58:49,1,4.0 m,119 km/h
27 lut 26 5:59:23,1,4.5 m,61 km/h
27 lut 26 6:01:47,1,3.8 m,59 km/h
27 lut 26 6:04:27,2,6.0 m,56 km/h
27 lut 26 6:05:29,1,4.2 m,54 km/h
27 lut 26 6:06:49,1,4.3 m,59 km/h
27 lut 26 6:07:10,2,16.4 m,47 km/h
27 lut 26 6:07:15,2,17.2 m,41 km/h
27 lut 26 6:07:23,2,21.1 m,53 km/h
27 lut 26 6:07:45,1,4.8 m,61 km/h
27 lut 26 6:07:49,1,4.0 m,57 km/h
27 lut 26 6:09:46,1,3.9 m,49 km/h
27 lut 26 6:10:27,1,4.4 m,63 km/h
27 lut 26 6:11:53,2,3.9 m,98 km/h
27 lut 26 6:13:58,1,5.5 m,41 km/h
27 lut 26 6:14:48,1,4.2 m,105 km/h
27 lut 26 6:15:05,1,4.2 m,65 km/h
27 lut 26 6:18:44,2,4.1 m,53 km/h
27 lut 26 6:18:54,1,1.4 m,55 km/h
27 lut 26 6:19:44,1,4.1 m,64 km/h
27 lut 26 6:20:13,1,4.1 m,50 km/h
27 lut 26 6:20:15,1,7.6 m,53 km/h
27 lut 26 6:20:17,1,4.6 m,56 km/h
27 lut 26 6:21:47,1,4.6 m,61 km/h
27 lut 26 6:24:13,1,6.8 m,59 km/h
27 lut 26 6:28:27,1,4.0 m,55 km/h
27 lut 26 6:29:17,2,3.9 m,38 km/h
27 lut 26 6:29:29,2,3.8 m,61 km/h
27 lut 26 6:29:36,1,3.9 m,63 km/h
27 lut 26 6:32:29,1,4.3 m,44 km/h
27 lut 26 6:33:15,1,5.0 m,58 km/h
27 lut 26 6:33:56,1,4.3 m,87 km/h
27 lut 26 6:34:00,1,5.1 m,81 km/h
27 lut 26 6:34:13,1,4.6 m,51 km/h
27 lut 26 6:34:15,1,5.6 m,53 km/h
27 lut 26 6:34:17,1,3.8 m,56 km/h
27 lut 26 6:35:11,1,3.6 m,63 km/h
27 lut 26 6:35:25,1,4.4 m,57 km/h
27 lut 26 6:35:41,2,6.0 m,54 km/h
27 lut 26 6:36:15,1,4.3 m,60 km/h
27 lut 26 6:36:33,1,3.3 m,61 km/h
27 lut 26 6:36:34,2,9.7 m,36 km/h
27 lut 26 6:37:56,1,3.3 m,48 km/h
27 lut 26 6:38:50,1,3.6 m,94 km/h
27 lut 26 6:40:03,2,5.1 m,51 km/h
27 lut 26 6:40:29,2,3.4 m,99 km/h
27 lut 26 6:43:32,1,5.0 m,52 km/h
27 lut 26 6:43:51,1,4.7 m,58 km/h
27 lut 26 6:43:55,1,5.0 m,82 km/h
27 lut 26 6:44:30,2,4.2 m,53 km/h
27 lut 26 6:46:31,1,4.4 m,55 km/h
27 lut 26 6:46:39,2,4.5 m,59 km/h
27 lut 26 6:47:29,1,5.1 m,56 km/h
27 lut 26 6:47:48,2,3.7 m,56 km/h
27 lut 26 6:48:50,2,3.7 m,95 km/h
27 lut 26 6:50:17,2,3.8 m,56 km/h
27 lut 26 6:50:32,2,4.7 m,42 km/h
27 lut 26 6:51:16,1,4.1 m,110 km/h
27 lut 26 6:52:23,1,3.9 m,62 km/h
27 lut 26 6:52:39,1,6.5 m,96 km/h
27 lut 26 6:53:12,1,3.8 m,85 km/h
27 lut 26 6:53:58,1,4.0 m,64 km/h
27 lut 26 6:54:11,1,4.1 m,37 km/h
27 lut 26 6:54:14,1,4.1 m,32 km/h
27 lut 26 6:54:25,2,3.8 m,64 km/h
27 lut 26 6:54:51,1,4.2 m,56 km/h
27 lut 26 6:57:05,2,4.7 m,98 km/h
27 lut 26 6:58:07,2,4.8 m,55 km/h
27 lut 26 6:58:41,2,11.6 m,56 km/h
27 lut 26 6:59:31,2,7.5 m,46 km/h
27 lut 26 6:59:47,1,4.5 m,61 km/h
27 lut 26 7:02:23,1,12.6 m,38 km/h
27 lut 26 7:02:49,1,17.4 m,94 km/h
27 lut 26 7:05:01,1,13.2 m,53 km/h
27 lut 26 7:07:07,1,4.1 m,93 km/h
27 lut 26 7:07:55,2,5.1 m,65 km/h
27 lut 26 7:09:40,2,2.8 m,51 km/h
27 lut 26 7:10:32,1,5.4 m,43 km/h
27 lut 26 7:11:04,1,3.5 m,63 km/h
27 lut 26 7:11:43,1,4.3 m,56 km/h
27 lut 26 7:12:28,2,8.4 m,56 km/h
27 lut 26 7:13:18,2,7.9 m,55 km/h
27 lut 26 7:13:26,1,3.2 m,66 km/h
27 lut 26 7:13:50,2,4.7 m,29 km/h
27 lut 26 7:13:53,2,5.2 m,39 km/h
27 lut 26 7:15:42,1,4.2 m,56 km/h
27 lut 26 7:16:12,2,6.5 m,9 km/h
27 lut 26 7:16:16,2,2.2 m,16 km/h
27 lut 26 7:16:43,1,4.3 m,54 km/h
27 lut 26 7:16:55,2,4.1 m,49 km/h
27 lut 26 7:17:03,2,4.7 m,30 km/h
27 lut 26 7:17:09,2,3.8 m,41 km/h
27 lut 26 7:17:59,1,4.4 m,54 km/h
27 lut 26 7:18:45,1,3.6 m,49 km/h
,,,
Powered by DataCollect,,,
