Generated by myTrafficdata,,,
SDR: 1145F,,7 maj 26 12:54:56,
6 maj 26 6:54:35,2,5.5 m,55 km/h
6 maj 26 6:54:37,2,5.1 m,59 km/h
6 maj 26 6:55:10,1,4.2 m,12 km/h
6 maj 26 6:56:34,2,12.4 m,46 km/h
6 maj 26 6:58:05,1,4.1 m,65 km/h
6 maj 26 6:58:20,2,4.4 m,45 km/h
6 maj 26 6:58:48,2,4.1 m,72 km/h
6 maj 26 6:59:03,2,4.5 m,82 km/h
6 maj 26 7:00:06,1,3.5 m,40 km/h
6 maj 26 7:00:20,2,4.3 m,65 km/h
6 maj 26 7:00:47,2,4.4 m,71 km/h
6 maj 26 7:01:28,2,3.6 m,54 km/h
6 maj 26 7:02:41,1,5.8 m,70 km/h
6 maj 26 7:03:18,2,4.4 m,67 km/h
6 maj 26 7:03:24,1,3.6 m,50 km/h
6 maj 26 7:03:47,1,3.8 m,60 km/h
6 maj 26 7:04:56,1,4.3 m,66 km/h
6 maj 26 7:05:03,2,5.0 m,79 km/h
6 maj 26 7:06:28,1,4.8 m,43 km/h
6 maj 26 7:07:26,1,3.3 m,36 km/h
6 maj 26 7:07:51,2,6.3 m,52 km/h
6 maj 26 7:10:10,1,4.1 m,65 km/h
6 maj 26 7:13:10,2,5.1 m,74 km/h
6 maj 26 7:14:30,2,3.9 m,49 km/h
6 maj 26 7:14:42,1,3.7 m,61 km/h
6 maj 26 7:16:14,1,4.2 m,27 km/h
6 maj 26 7:16:34,1,3.9 m,78 km/h
6 maj 26 7:16:49,1,3.9 m,60 km/h
6 maj 26 7:17:13,1,3.2 m,43 km/h
6 maj 26 7:17:58,1,5.5 m,47 km/h
6 maj 26 7:18:10,1,3.7 m,43 km/h
6 maj 26 7:20:37,1,4.2 m,45 km/h
6 maj 26 7:21:15,2,3.9 m,65 km/h
6 maj 26 7:21:56,1,3.8 m,39 km/h
6 maj 26 7:23:03,1,3.6 m,54 km/h
6 maj 26 7:23:03,1,2.5 m,56 km/h
6 maj 26 7:23:22,2,3.5 m,52 km/h
6 maj 26 7:23:54,1,4.2 m,53 km/h
6 maj 26 7:24:27,1,3.9 m,41 km/h
6 maj 26 7:25:08,2,4.1 m,43 km/h
6 maj 26 7:25:11,2,4.2 m,36 km/h
6 maj 26 7:25:23,1,3.7 m,45 km/h
6 maj 26 7:25:45,1,4.2 m,65 km/h
6 maj 26 7:26:00,1,4.2 m,71 km/h
6 maj 26 7:26:15,2,5.9 m,37 km/h
6 maj 26 7:26:51,2,4.2 m,57 km/h
6 maj 26 7:27:04,1,3.7 m,48 km/h
6 maj 26 7:27:43,1,4.1 m,50 km/h
6 maj 26 7:28:25,2,3.8 m,50 km/h
6 maj 26 7:29:06,1,4.4 m,53 km/h
6 maj 26 7:31:11,2,3.7 m,37 km/h
6 maj 26 7:31:40,1,4.6 m,49 km/h
6 maj 26 7:31:59,1,7.0 m,47 km/h
6 maj 26 7:32:26,1,4.6 m,66 km/h
6 maj 26 7:32:52,1,4.1 m,83 km/h
6 maj 26 7:34:14,2,5.6 m,56 km/h
6 maj 26 7:34:43,1,4.2 m,69 km/h
6 maj 26 7:36:01,1,6.0 m,56 km/h
6 maj 26 7:37:42,1,4.2 m,51 km/h
6 maj 26 7:37:55,2,4.3 m,75 km/h
6 maj 26 7:39:52,1,4.1 m,38 km/h
6 maj 26 7:41:02,1,4.1 m,44 km/h
6 maj 26 7:45:44,2,0.8 m,30 km/h
6 maj 26 7:47:18,1,5.1 m,54 km/h
6 maj 26 7:47:30,1,4.2 m,70 km/h
6 maj 26 7:50:10,2,7.3 m,29 km/h
6 maj 26 7:50:28,2,12.2 m,17 km/h
6 maj 26 7:51:05,1,2.8 m,52 km/h
6 maj 26 7:51:48,1,4.0 m,35 km/h
6 maj 26 7:53:30,2,4.0 m,46 km/h
6 maj 26 7:55:10,1,0.7 m,39 km/h
6 maj 26 7:55:42,1,5.9 m,33 km/h
6 maj 26 8:03:10,2,5.7 m,62 km/h
6 maj 26 8:04:39,1,3.9 m,51 km/h
6 maj 26 8:04:50,1,7.2 m,55 km/h
6 maj 26 8:06:10,1,4.5 m,33 km/h
6 maj 26 8:07:56,1,6.0 m,46 km/h
6 maj 26 8:08:38,1,4.3 m,36 km/h
6 maj 26 8:09:32,2,4.6 m,69 km/h
6 maj 26 8:09:53,1,3.2 m,45 km/h
6 maj 26 8:10:55,1,3.8 m,50 km/h
6 maj 26 8:10:56,1,1.0 m,50 km/h
6 maj 26 8:13:26,1,4.1 m,43 km/h
6 maj 26 8:17:27,1,3.4 m,69 km/h
6 maj 26 8:18:41,2,4.8 m,53 km/h
6 maj 26 8:19:29,1,4.5 m,58 km/h
6 maj 26 8:19:38,2,7.6 m,58 km/h
6 maj 26 8:20:08,1,4.0 m,67 km/h
6 maj 26 8:21:25,1,4.2 m,33 km/h
6 maj 26 8:26:07,2,3.9 m,91 km/h
6 maj 26 8:26:24,2,3.6 m,66 km/h
6 maj 26 8:27:16,1,4.0 m,64 km/h
6 maj 26 8:27:58,1,4.0 m,74 km/h
6 maj 26 8:28:24,2,5.0 m,44 km/h
6 maj 26 8:29:12,2,4.3 m,62 km/h
6 maj 26 8:30:32,1,3.9 m,58 km/h
6 maj 26 8:30:43,2,5.9 m,44 km/h
6 maj 26 8:31:34,1,4.1 m,54 km/h
6 maj 26 8:31:46,2,3.8 m,85 km/h
6 maj 26 8:34:07,2,4.0 m,44 km/h
6 maj 26 8:34:33,2,14.6 m,50 km/h
6 maj 26 8:34:40,1,3.2 m,44 km/h
6 maj 26 8:35:03,1,5.2 m,64 km/h
6 maj 26 8:35:30,2,11.6 m,37 km/h
6 maj 26 8:37:16,2,3.6 m,70 km/h
6 maj 26 8:37:36,2,3.9 m,32 km/h
6 maj 26 8:38:48,2,4.3 m,59 km/h
6 maj 26 8:41:04,1,4.3 m,52 km/h
6 maj 26 8:41:14,1,3.0 m,69 km/h
6 maj 26 8:42:01,1,3.5 m,73 km/h
6 maj 26 8:42:21,1,3.7 m,52 km/h
6 maj 26 8:44:04,2,4.3 m,91 km/h
6 maj 26 8:45:19,2,4.3 m,43 km/h
6 maj 26 8:46:12,2,4.5 m,63 km/h
6 maj 26 8:48:14,1,3.8 m,52 km/h
6 maj 26 8:50:10,1,4.2 m,46 km/h
6 maj 26 8:50:32,1,3.8 m,57 km/h
6 maj 26 8:52:05,1,4.9 m,58 km/h
6 maj 26 8:52:36,2,3.9 m,61 km/h
6 maj 26 8:53:11,2,4.3 m,70 km/h
6 maj 26 8:53:49,2,18.1 m,59 km/h
6 maj 26 8:53:55,2,6.1 m,65 km/h
6 maj 26 8:54:28,1,4.4 m,52 km/h
6 maj 26 8:54:56,2,4.2 m,69 km/h
6 maj 26 8:56:01,1,3.7 m,58 km/h
6 maj 26 8:56:03,1,3.8 m,81 km/h
6 maj 26 8:56:52,1,15.7 m,43 km/h
6 maj 26 8:57:31,1,4.4 m,65 km/h
6 maj 26 8:58:16,2,5.9 m,63 km/h
6 maj 26 9:00:25,1,6.5 m,47 km/h
6 maj 26 9:00:42,2,5.1 m,84 km/h
6 maj 26 9:00:59,2,5.0 m,74 km/h
6 maj 26 9:03:04,1,4.0 m,56 km/h
6 maj 26 9:03:49,1,4.3 m,58 km/h
6 maj 26 9:04:02,2,4.8 m,47 km/h
6 maj 26 9:05:25,1,6.6 m,68 km/h
6 maj 26 9:08:41,2,7.0 m,48 km/h
6 maj 26 9:08:56,1,4.0 m,54 km/h
6 maj 26 9:10:26,1,4.0 m,52 km/h
6 maj 26 9:11:31,2,4.3 m,40 km/h
6 maj 26 9:11:46,2,4.4 m,44 km/h
6 maj 26 9:12:16,1,4.3 m,57 km/h
6 maj 26 9:12:24,2,7.4 m,55 km/h
6 maj 26 9:12:38,2,4.6 m,61 km/h
6 maj 26 9:12:43,1,3.9 m,52 km/h
6 maj 26 9:13:03,1,4.6 m,49 km/h
6 maj 26 9:13:59,2,5.5 m,54 km/h
6 maj 26 9:14:01,2,4.1 m,52 km/h
6 maj 26 9:14:23,2,5.7 m,78 km/h
6 maj 26 9:14:39,1,7.8 m,52 km/h
6 maj 26 9:15:17,1,4.2 m,50 km/h
6 maj 26 9:15:23,2,6.1 m,77 km/h
6 maj 26 9:20:24,1,3.9 m,48 km/h
6 maj 26 9:20:33,1,2.7 m,54 km/h
6 maj 26 9:20:34,2,4.4 m,46 km/h
6 maj 26 9:21:38,1,4.1 m,50 km/h
6 maj 26 9:21:59,1,1.1 m,23 km/h
6 maj 26 9:22:00,1,4.2 m,21 km/h
6 maj 26 9:23:13,1,3.3 m,69 km/h
6 maj 26 9:26:13,1,7.0 m,59 km/h
6 maj 26 9:26:52,1,4.3 m,60 km/h
6 maj 26 9:26:56,1,6.7 m,77 km/h
6 maj 26 9:27:14,1,4.0 m,55 km/h
6 maj 26 9:27:57,2,3.6 m,53 km/h
6 maj 26 9:28:51,1,4.4 m,47 km/h
6 maj 26 9:29:11,1,4.0 m,49 km/h
6 maj 26 9:30:24,1,3.7 m,37 km/h
6 maj 26 9:32:10,1,4.2 m,52 km/h
6 maj 26 9:32:39,1,6.8 m,59 km/h
6 maj 26 9:32:49,2,6.5 m,49 km/h
6 maj 26 9:35:44,2,4.5 m,49 km/h
6 maj 26 9:35:59,2,6.1 m,48 km/h
6 maj 26 9:36:34,1,4.7 m,58 km/h
6 maj 26 9:38:35,2,6.4 m,52 km/h
6 maj 26 9:38:40,1,5.4 m,63 km/h
6 maj 26 9:39:54,1,3.9 m,80 km/h
6 maj 26 9:40:25,2,4.3 m,60 km/h
6 maj 26 9:41:28,2,4.1 m,62 km/h
6 maj 26 9:41:39,2,5.0 m,54 km/h
6 maj 26 9:42:41,1,6.4 m,46 km/h
6 maj 26 9:43:34,2,3.8 m,48 km/h
6 maj 26 9:43:42,2,4.3 m,52 km/h
6 maj 26 9:47:28,2,6.4 m,64 km/h
6 maj 26 9:49:36,2,18.9 m,49 km/h
6 maj 26 9:50:24,1,6.9 m,52 km/h
6 maj 26 9:52:14,2,4.1 m,47 km/h
6 maj 26 9:52:29,1,3.7 m,54 km/h
6 maj 26 9:54:13,1,3.8 m,49 km/h
6 maj 26 9:55:05,2,8.4 m,23 km/h
6 maj 26 9:56:06,2,4.4 m,35 km/h
6 maj 26 9:58:06,2,4.2 m,48 km/h
6 maj 26 10:00:03,1,4.5 m,57 km/h
6 maj 26 10:00:26,2,3.6 m,47 km/h
6 maj 26 10:02:12,1,5.2 m,36 km/h
6 maj 26 10:02:22,2,4.3 m,57 km/h
6 maj 26 10:02:35,1,7.7 m,55 km/h
6 maj 26 10:02:53,2,5.6 m,65 km/h
6 maj 26 10:03:04,1,3.9 m,48 km/h
6 maj 26 10:03:46,2,4.8 m,52 km/h
6 maj 26 10:04:04,2,7.1 m,39 km/h
6 maj 26 10:04:08,2,3.3 m,57 km/h
6 maj 26 10:04:13,1,6.7 m,46 km/h
6 maj 26 10:04:29,1,3.5 m,50 km/h
6 maj 26 10:05:40,1,4.4 m,47 km/h
6 maj 26 10:06:32,1,3.6 m,72 km/h
6 maj 26 10:06:39,1,4.2 m,54 km/h
6 maj 26 10:07:56,1,8.9 m,47 km/h
6 maj 26 10:08:16,2,6.3 m,71 km/h
6 maj 26 10:09:03,2,4.3 m,57 km/h
6 maj 26 10:11:05,1,4.8 m,55 km/h
6 maj 26 10:12:34,2,4.6 m,67 km/h
6 maj 26 10:13:13,1,7.3 m,68 km/h
6 maj 26 10:13:48,1,3.5 m,49 km/h
6 maj 26 10:15:37,1,3.3 m,47 km/h
6 maj 26 10:15:43,1,8.2 m,53 km/h
6 maj 26 10:15:49,1,7.6 m,48 km/h
6 maj 26 10:17:20,2,6.3 m,55 km/h
6 maj 26 10:19:26,1,3.4 m,53 km/h
6 maj 26 10:20:03,1,16.1 m,56 km/h
6 maj 26 10:22:57,1,3.3 m,55 km/h
6 maj 26 10:23:32,2,4.8 m,40 km/h
6 maj 26 10:23:49,2,5.0 m,53 km/h
6 maj 26 10:23:55,1,4.0 m,48 km/h
6 maj 26 10:25:23,1,3.6 m,46 km/h
6 maj 26 10:27:52,2,1.7 m,28 km/h
6 maj 26 10:28:18,2,4.1 m,62 km/h
6 maj 26 10:28:33,1,2.8 m,43 km/h
6 maj 26 10:28:58,2,4.6 m,68 km/h
6 maj 26 10:29:57,1,4.3 m,58 km/h
6 maj 26 10:30:15,2,5.0 m,43 km/h
6 maj 26 10:33:34,2,4.4 m,62 km/h
6 maj 26 10:36:27,2,5.4 m,48 km/h
6 maj 26 10:36:28,1,3.1 m,50 km/h
6 maj 26 10:37:01,1,8.2 m,63 km/h
6 maj 26 10:37:09,1,3.5 m,31 km/h
6 maj 26 10:37:23,1,3.8 m,61 km/h
6 maj 26 10:37:43,2,3.9 m,41 km/h
6 maj 26 10:39:29,2,3.7 m,56 km/h
6 maj 26 10:39:54,2,4.9 m,47 km/h
6 maj 26 10:39:59,1,4.3 m,57 km/h
6 maj 26 10:41:22,1,6.4 m,42 km/h
6 maj 26 10:42:50,1,9.0 m,46 km/h
6 maj 26 10:45:09,2,5.5 m,72 km/h
6 maj 26 10:45:22,1,2.3 m,49 km/h
6 maj 26 10:45:59,2,5.1 m,67 km/h
6 maj 26 10:48:48,2,4.4 m,56 km/h
6 maj 26 10:49:39,1,4.4 m,72 km/h
6 maj 26 10:50:42,2,4.7 m,56 km/h
6 maj 26 10:52:55,2,3.6 m,92 km/h
6 maj 26 10:55:44,2,5.4 m,33 km/h
6 maj 26 10:57:26,1,9.4 m,46 km/h
6 maj 26 10:58:13,1,4.7 m,58 km/h
6 maj 26 10:59:41,1,4.3 m,62 km/h
6 maj 26 11:00:40,2,5.9 m,58 km/h
6 maj 26 11:01:47,2,3.9 m,44 km/h
6 maj 26 11:05:57,2,4.5 m,71 km/h
6 maj 26 11:07:14,1,5.8 m,57 km/h
6 maj 26 11:07:56,1,4.5 m,60 km/h
6 maj 26 11:08:21,2,3.5 m,52 km/h
6 maj 26 11:10:48,1,3.7 m,57 km/h
6 maj 26 11:11:23,2,4.0 m,47 km/h
6 maj 26 11:11:37,1,4.5 m,61 km/h
6 maj 26 11:12:09,1,3.9 m,60 km/h
6 maj 26 11:16:47,2,5.3 m,55 km/h
6 maj 26 11:17:26,1,4.2 m,61 km/h
6 maj 26 11:17:29,1,4.4 m,71 km/h
6 maj 26 11:18:18,2,4.9 m,54 km/h
6 maj 26 11:18:43,1,3.9 m,54 km/h
6 maj 26 11:19:25,2,5.6 m,48 km/h
6 maj 26 11:19:44,1,4.3 m,58 km/h
6 maj 26 11:20:58,1,11.9 m,69 km/h
6 maj 26 11:21:01,2,10.3 m,44 km/h
6 maj 26 11:21:44,2,6.2 m,52 km/h
6 maj 26 11:22:10,1,5.6 m,71 km/h
6 maj 26 11:28:20,1,4.6 m,58 km/h
6 maj 26 11:28:41,1,2.8 m,46 km/h
6 maj 26 11:29:04,1,10.4 m,61 km/h
6 maj 26 11:31:04,2,3.5 m,49 km/h
6 maj 26 11:32:24,2,3.6 m,54 km/h
6 maj 26 11:33:02,2,4.2 m,55 km/h
6 maj 26 11:35:06,1,3.9 m,54 km/h
6 maj 26 11:35:22,1,4.1 m,47 km/h
6 maj 26 11:41:51,1,4.6 m,63 km/h
6 maj 26 11:42:04,2,4.5 m,77 km/h
6 maj 26 11:42:04,2,4.5 m,81 km/h
6 maj 26 11:42:53,2,4.0 m,51 km/h
6 maj 26 11:44:25,2,4.3 m,68 km/h
6 maj 26 11:44:50,1,3.2 m,52 km/h
6 maj 26 11:45:50,2,3.5 m,59 km/h
6 maj 26 11:48:54,2,5.1 m,42 km/h
6 maj 26 11:52:28,2,14.3 m,60 km/h
6 maj 26 11:53:15,2,4.6 m,40 km/h
6 maj 26 11:56:57,2,4.1 m,49 km/h
6 maj 26 11:57:14,2,4.1 m,62 km/h
6 maj 26 11:58:26,1,4.4 m,41 km/h
6 maj 26 11:59:31,2,4.9 m,65 km/h
6 maj 26 12:01:00,1,4.2 m,49 km/h
6 maj 26 12:01:57,1,5.8 m,54 km/h
6 maj 26 12:04:20,2,4.5 m,50 km/h
6 maj 26 12:05:30,2,4.0 m,49 km/h
6 maj 26 12:05:36,2,4.1 m,56 km/h
6 maj 26 12:05:50,2,7.3 m,48 km/h
6 maj 26 12:05:52,1,3.9 m,40 km/h
6 maj 26 12:06:15,1,0.6 m,17 km/h
6 maj 26 12:07:45,1,6.4 m,65 km/h
6 maj 26 12:08:32,1,3.5 m,56 km/h
6 maj 26 12:08:33,2,4.5 m,56 km/h
6 maj 26 12:08:45,1,4.5 m,53 km/h
6 maj 26 12:09:25,2,5.6 m,51 km/h
6 maj 26 12:09:43,1,4.9 m,48 km/h
6 maj 26 12:10:00,2,4.6 m,75 km/h
6 maj 26 12:13:01,1,3.2 m,49 km/h
6 maj 26 12:13:57,1,1.2 m,36 km/h
6 maj 26 12:15:09,2,5.4 m,65 km/h
6 maj 26 12:16:15,2,4.4 m,40 km/h
6 maj 26 12:16:38,2,5.7 m,52 km/h
6 maj 26 12:18:07,1,4.2 m,58 km/h
6 maj 26 12:20:45,1,4.4 m,63 km/h
6 maj 26 12:22:20,2,4.9 m,59 km/h
6 maj 26 12:22:49,2,4.2 m,21 km/h
6 maj 26 12:23:09,1,3.7 m,23 km/h
6 maj 26 12:24:07,1,4.1 m,110 km/h
6 maj 26 12:25:41,2,4.5 m,87 km/h
6 maj 26 12:26:49,2,4.4 m,55 km/h
6 maj 26 12:27:14,1,4.0 m,54 km/h
6 maj 26 12:27:38,2,4.8 m,50 km/h
6 maj 26 12:30:15,2,0.5 m,19 km/h
6 maj 26 12:30:17,1,3.9 m,54 km/h
6 maj 26 12:32:53,1,4.4 m,45 km/h
6 maj 26 12:35:15,2,4.5 m,36 km/h
6 maj 26 12:35:52,1,8.3 m,27 km/h
6 maj 26 12:36:41,2,4.7 m,59 km/h
6 maj 26 12:36:54,2,5.0 m,60 km/h
6 maj 26 12:37:04,2,4.1 m,54 km/h
6 maj 26 12:37:06,1,3.9 m,69 km/h
6 maj 26 12:38:04,1,3.2 m,53 km/h
6 maj 26 12:38:04,1,4.3 m,57 km/h
6 maj 26 12:38:19,1,4.9 m,56 km/h
6 maj 26 12:39:00,2,4.5 m,12 km/h
6 maj 26 12:39:17,1,4.1 m,46 km/h
6 maj 26 12:39:50,1,3.6 m,51 km/h
6 maj 26 12:41:31,1,3.7 m,54 km/h
6 maj 26 12:41:34,2,4.3 m,53 km/h
6 maj 26 12:41:52,2,4.1 m,54 km/h
6 maj 26 12:42:43,1,4.8 m,39 km/h
6 maj 26 12:45:20,1,4.3 m,60 km/h
6 maj 26 12:46:35,2,5.0 m,65 km/h
6 maj 26 12:48:02,2,7.2 m,60 km/h
6 maj 26 12:48:30,1,3.6 m,50 km/h
6 maj 26 12:49:00,1,4.2 m,50 km/h
6 maj 26 12:49:06,1,3.8 m,40 km/h
6 maj 26 12:49:08,1,3.7 m,43 km/h
6 maj 26 12:53:33,1,4.1 m,45 km/h
6 maj 26 12:54:07,1,1.8 m,16 km/h
6 maj 26 12:56:37,2,5.2 m,63 km/h
6 maj 26 12:56:58,1,4.3 m,47 km/h
6 maj 26 12:57:36,2,3.8 m,37 km/h
6 maj 26 12:58:43,1,4.7 m,31 km/h
6 maj 26 12:58:55,1,4.3 m,36 km/h
6 maj 26 12:59:29,2,4.5 m,32 km/h
6 maj 26 12:59:56,1,4.5 m,25 km/h
6 maj 26 13:00:38,1,4.4 m,61 km/h
6 maj 26 13:00:55,2,9.7 m,52 km/h
6 maj 26 13:02:38,1,3.6 m,44 km/h
6 maj 26 13:02:59,1,7.6 m,54 km/h
6 maj 26 13:03:01,2,4.0 m,55 km/h
6 maj 26 13:03:29,2,4.3 m,66 km/h
6 maj 26 13:04:42,2,4.4 m,65 km/h
6 maj 26 13:05:00,2,6.6 m,68 km/h
6 maj 26 13:05:24,1,3.9 m,48 km/h
6 maj 26 13:06:10,1,3.7 m,57 km/h
6 maj 26 13:07:08,1,4.4 m,83 km/h
6 maj 26 13:09:12,1,4.4 m,41 km/h
6 maj 26 13:11:51,1,4.4 m,57 km/h
6 maj 26 13:11:56,1,4.6 m,63 km/h
6 maj 26 13:12:24,2,16.2 m,50 km/h
6 maj 26 13:12:49,2,3.1 m,47 km/h
6 maj 26 13:13:30,2,17.9 m,53 km/h
6 maj 26 13:13:37,2,4.8 m,65 km/h
6 maj 26 13:14:28,2,4.8 m,63 km/h
6 maj 26 13:14:34,1,3.6 m,59 km/h
6 maj 26 13:16:22,2,4.5 m,37 km/h
6 maj 26 13:17:12,1,10.3 m,29 km/h
6 maj 26 13:17:25,2,4.4 m,58 km/h
6 maj 26 13:17:45,2,6.9 m,46 km/h
6 maj 26 13:18:02,2,3.7 m,49 km/h
6 maj 26 13:18:48,1,4.1 m,74 km/h
6 maj 26 13:19:15,2,4.1 m,33 km/h
6 maj 26 13:20:06,1,6.4 m,66 km/h
6 maj 26 13:20:22,2,0.9 m,14 km/h
6 maj 26 13:20:47,2,4.3 m,37 km/h
6 maj 26 13:21:43,1,0.6 m,15 km/h
6 maj 26 13:23:18,1,4.0 m,36 km/h
6 maj 26 13:23:56,1,8.7 m,57 km/h
6 maj 26 13:25:03,2,5.1 m,35 km/h
6 maj 26 13:25:09,1,3.6 m,53 km/h
6 maj 26 13:25:38,1,4.1 m,66 km/h
6 maj 26 13:25:40,1,3.8 m,63 km/h
6 maj 26 13:25:52,1,4.0 m,70 km/h
6 maj 26 13:26:58,1,4.5 m,49 km/h
6 maj 26 13:27:32,2,5.1 m,40 km/h
6 maj 26 13:27:45,2,3.9 m,53 km/h
6 maj 26 13:30:06,1,10.2 m,55 km/h
6 maj 26 13:30:06,1,2.6 m,56 km/h
6 maj 26 13:30:57,1,4.4 m,47 km/h
6 maj 26 13:31:09,1,4.3 m,72 km/h
6 maj 26 13:32:09,2,3.9 m,54 km/h
6 maj 26 13:32:31,1,4.5 m,53 km/h
6 maj 26 13:33:44,2,3.7 m,44 km/h
6 maj 26 13:34:25,1,5.7 m,48 km/h
6 maj 26 13:34:27,1,3.6 m,36 km/h
6 maj 26 13:35:28,1,4.5 m,36 km/h
6 maj 26 13:36:02,1,3.1 m,60 km/h
6 maj 26 13:36:15,1,4.3 m,55 km/h
6 maj 26 13:36:55,2,4.1 m,51 km/h
6 maj 26 13:39:37,1,6.6 m,39 km/h
6 maj 26 13:40:13,1,5.1 m,55 km/h
6 maj 26 13:40:15,2,3.9 m,53 km/h
6 maj 26 13:40:24,2,4.2 m,44 km/h
6 maj 26 13:40:49,2,5.1 m,68 km/h
6 maj 26 13:41:03,1,3.4 m,50 km/h
6 maj 26 13:42:59,1,4.6 m,56 km/h
6 maj 26 13:43:14,1,4.1 m,49 km/h
6 maj 26 13:44:26,1,4.3 m,56 km/h
6 maj 26 13:46:19,2,4.4 m,68 km/h
6 maj 26 13:46:53,2,14.5 m,58 km/h
6 maj 26 13:50:43,2,4.2 m,59 km/h
6 maj 26 13:51:28,1,13.4 m,45 km/h
6 maj 26 13:51:29,2,4.9 m,51 km/h
6 maj 26 13:51:31,1,6.8 m,44 km/h
6 maj 26 13:51:33,1,4.4 m,42 km/h
6 maj 26 13:52:50,1,4.1 m,46 km/h
6 maj 26 13:53:12,1,4.3 m,52 km/h
6 maj 26 13:53:52,2,4.2 m,55 km/h
6 maj 26 13:53:55,2,4.8 m,52 km/h
6 maj 26 13:54:22,2,5.7 m,50 km/h
6 maj 26 13:55:03,2,4.6 m,62 km/h
6 maj 26 13:57:13,1,4.2 m,16 km/h
6 maj 26 13:59:19,1,5.0 m,52 km/h
6 maj 26 13:59:45,2,4.5 m,72 km/h
6 maj 26 14:00:27,1,5.3 m,38 km/h
6 maj 26 14:00:33,1,6.5 m,53 km/h
6 maj 26 14:02:41,2,3.8 m,34 km/h
6 maj 26 14:04:15,2,4.3 m,50 km/h
6 maj 26 14:04:39,1,4.3 m,70 km/h
6 maj 26 14:04:56,1,4.4 m,48 km/h
6 maj 26 14:05:01,1,2.9 m,60 km/h
6 maj 26 14:06:43,2,5.2 m,52 km/h
6 maj 26 14:07:58,1,4.1 m,63 km/h
6 maj 26 14:08:33,2,4.6 m,50 km/h
6 maj 26 14:09:13,1,4.2 m,63 km/h
6 maj 26 14:10:58,1,4.5 m,38 km/h
6 maj 26 14:12:30,2,4.5 m,13 km/h
6 maj 26 14:13:04,1,4.2 m,49 km/h
6 maj 26 14:13:17,1,4.5 m,43 km/h
6 maj 26 14:13:45,2,5.7 m,32 km/h
6 maj 26 14:14:11,2,4.9 m,34 km/h
6 maj 26 14:15:02,1,4.0 m,57 km/h
6 maj 26 14:15:29,2,4.5 m,61 km/h
6 maj 26 14:16:33,2,4.6 m,62 km/h
6 maj 26 14:16:59,2,5.3 m,68 km/h
6 maj 26 14:17:03,2,4.1 m,59 km/h
6 maj 26 14:18:21,1,4.2 m,51 km/h
6 maj 26 14:18:24,2,3.6 m,75 km/h
6 maj 26 14:18:34,2,5.7 m,68 km/h
6 maj 26 14:19:12,2,4.8 m,72 km/h
6 maj 26 14:21:36,1,5.6 m,63 km/h
6 maj 26 14:22:51,2,4.5 m,43 km/h
6 maj 26 14:25:03,1,4.7 m,40 km/h
6 maj 26 14:25:05,1,4.3 m,46 km/h
6 maj 26 14:25:08,1,3.4 m,46 km/h
6 maj 26 14:25:13,1,4.4 m,41 km/h
6 maj 26 14:25:32,1,4.6 m,61 km/h
6 maj 26 14:25:48,2,3.6 m,68 km/h
6 maj 26 14:26:14,2,5.1 m,92 km/h
6 maj 26 14:26:50,2,4.4 m,40 km/h
6 maj 26 14:26:55,2,4.5 m,45 km/h
6 maj 26 14:29:19,2,5.2 m,67 km/h
6 maj 26 14:29:25,2,4.9 m,64 km/h
6 maj 26 14:30:07,1,3.9 m,49 km/h
6 maj 26 14:31:12,1,3.4 m,45 km/h
6 maj 26 14:32:10,2,3.8 m,50 km/h
6 maj 26 14:32:13,2,4.8 m,50 km/h
6 maj 26 14:32:47,2,4.6 m,56 km/h
6 maj 26 14:34:32,1,5.0 m,58 km/h
6 maj 26 14:34:41,2,14.4 m,54 km/h
6 maj 26 14:34:53,1,4.3 m,45 km/h
6 maj 26 14:36:19,2,4.1 m,47 km/h
6 maj 26 14:36:24,2,4.4 m,55 km/h
6 maj 26 14:36:28,2,4.2 m,69 km/h
6 maj 26 14:37:04,1,7.5 m,55 km/h
6 maj 26 14:37:07,2,4.4 m,42 km/h
6 maj 26 14:39:16,2,3.5 m,78 km/h
6 maj 26 14:39:33,2,3.6 m,60 km/h
6 maj 26 14:41:06,1,7.1 m,102 km/h
6 maj 26 14:41:12,2,5.8 m,57 km/h
6 maj 26 14:42:29,2,13.3 m,52 km/h
6 maj 26 14:42:37,2,7.2 m,58 km/h
6 maj 26 14:43:02,1,3.8 m,58 km/h
6 maj 26 14:43:09,1,4.3 m,20 km/h
6 maj 26 14:45:33,2,6.5 m,71 km/h
6 maj 26 14:46:10,1,4.5 m,44 km/h
6 maj 26 14:47:09,2,4.6 m,48 km/h
6 maj 26 14:47:41,1,18.4 m,53 km/h
6 maj 26 14:47:47,1,4.8 m,66 km/h
6 maj 26 14:49:28,2,5.2 m,64 km/h
6 maj 26 14:49:32,1,4.2 m,57 km/h
6 maj 26 14:51:02,2,4.2 m,58 km/h
6 maj 26 14:51:35,1,4.6 m,40 km/h
6 maj 26 14:54:42,1,3.2 m,76 km/h
6 maj 26 14:54:48,2,4.5 m,59 km/h
6 maj 26 14:55:46,2,4.2 m,41 km/h
6 maj 26 14:56:45,1,4.1 m,48 km/h
6 maj 26 14:56:49,1,3.7 m,54 km/h
6 maj 26 14:57:51,2,4.0 m,53 km/h
6 maj 26 14:58:08,2,7.3 m,32 km/h
6 maj 26 14:58:12,2,4.0 m,47 km/h
